,land,logged_in,root_shell,is_host_login,is_guest_login,duration,src_bytes,dst_bytes,wrong_fragment,urgent,hot,num_failed_logins,num_compromised,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,count,srv_count,dst_host_count,dst_host_srv_count,success_pred,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,protocol_type_tcp,protocol_type_udp,service_X11,service_Z39_50,service_aol,service_auth,service_bgp,service_courier,service_csnet_ns,service_ctf,service_daytime,service_discard,service_domain,service_domain_u,service_echo,service_eco_i,service_ecr_i,service_efs,service_exec,service_finger,service_ftp,service_ftp_data,service_gopher,service_harvest,service_hostnames,service_http,service_http_2784,service_http_443,service_http_8001,service_imap4,service_iso_tsap,service_klogin,service_kshell,service_ldap,service_link,service_login,service_mtp,service_name,service_netbios_dgm,service_netbios_ns,service_netbios_ssn,service_netstat,service_nnsp,service_nntp,service_ntp_u,service_other,service_pm_dump,service_pop_2,service_pop_3,service_printer,service_private,service_red_i,service_remote_job,service_rje,service_shell,service_smtp,service_sql_net,service_ssh,service_sunrpc,service_supdup,service_systat,service_telnet,service_tftp_u,service_tim_i,service_time,service_urh_i,service_urp_i,service_uucp,service_uucp_path,service_vmnet,service_whois,flag_REJ,flag_RSTO,flag_RSTOS0,flag_RSTR,flag_S0,flag_S1,flag_S2,flag_S3,flag_SF,flag_SH,attack_type_buffer_overflow,attack_type_ftp_write,attack_type_guess_passwd,attack_type_imap,attack_type_ipsweep,attack_type_land,attack_type_loadmodule,attack_type_multihop,attack_type_neptune,attack_type_nmap,attack_type_normal,attack_type_perl,attack_type_phf,attack_type_pod,attack_type_portsweep,attack_type_rootkit,attack_type_satan,attack_type_smurf,attack_type_spy,attack_type_teardrop,attack_type_warezclient,attack_type_warezmaster
land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logged_in,,1.0,,,,-0.06453668309291115,0.16327494066010134,0.4220001026319178,,,0.1689375771357833,,0.12549338840208604,,,,,,,-0.5397545764343965,-0.20105050851980286,-0.40108404609719933,0.6243645699933377,0.3074720571521272,-0.491924995023048,-0.49016700659470086,-0.2875142957566356,-0.2835315069373967,0.6005357192353573,-0.2213231255307837,0.13107431058413793,0.6040583060021741,-0.256064556823491,-0.16099393806467713,-0.052831864081815526,-0.49147810664592145,-0.4932639954458706,-0.27597209668825334,-0.2728057413687,0.38535046170355197,-0.2974479368615426,0.010867765770845632,-0.06717302957957866,-0.0032245473607483547,-0.04228292854232807,-0.06092658283596129,-0.061953705221357167,-0.05334454966523424,-0.05422220369781601,-0.05189883269285932,-0.052750450392709376,-0.045796525419869866,-0.22505172249013053,-0.047305162478125676,-0.1572968359321308,-0.12805128026486,-0.0503105217403838,-0.0497345381014232,-0.0965241614890644,0.06842209425256701,0.09094410837050952,-0.050732422791543476,-0.003224547360748363,-0.04899182429346436,0.6995565752132474,-0.002280090255000152,-0.05260218321827755,-0.0032245473607483734,-0.05701061695164001,-0.05992611830736105,-0.047527167993021244,-0.03947316279819283,-0.04624344042502116,-0.04978717141060354,-0.04647043333109854,-0.04785646627613885,-0.04850844984957892,-0.04595968821060794,-0.04253182538185691,-0.04314070895144765,-0.043323447342937235,-0.057373227675462546,-0.03759775914253121,-0.029572956231429526,-0.13038515863172628,-0.0050985177524992395,-0.019490791165266898,0.029294665725491973,-0.018251157564662352,-0.370489654425766,-0.006449248312206737,-0.02014336911325024,-0.021151824494139798,-0.01695769391989056,0.2808719118394372,-0.035723671679695965,-0.03535265692207323,-0.044572865027712225,-0.053295374787641306,-0.049892273964215875,-0.011530535875179267,-0.003949263517955346,-0.006449248312206677,-0.05778378030592253,-0.0072105360575394385,-0.05607751385550361,-0.06325644423446486,-0.06001376263245108,-0.056775251909554986,-0.060188676775940454,-0.25320921530326823,-0.07058047724564274,-0.023149762879404335,-0.09341797557154989,-0.5004417804687704,0.05271872514154579,0.033628113327509625,0.019436068532488547,0.6417379072014754,-0.037575312600609465,0.019071487149027327,0.005773398085635091,-0.01581114770702231,-0.0058252320364753215,-0.13634665775161822,-0.009674256481666641,0.008524401728375685,0.00267830905421363,-0.5642764083977733,-0.08862763587330898,0.6901707395800085,0.006030287415756444,0.006963203763951697,-0.03235155021099975,-0.12457920142565967,0.0018997590036057609,-0.1341211568446908,-0.11853726075645946,0.000849571076581685,-0.06834013077614726,0.10423337693907068,-0.007620759823951591
root_shell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is_host_login,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is_guest_login,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
duration,,-0.06453668309291115,,,,1.0,0.01173974795422255,0.036892202512279294,,,0.021273730544937943,,0.062081158476295056,,,,,,,-0.09924305641780355,-0.050308898191994876,0.054295495794386035,-0.13598122415520947,-0.1469352614734906,-0.08751283182210892,-0.0871456035975781,0.17310830129009702,0.17360683357410486,0.08586746185089884,0.0016087194798751223,-0.0500985086585184,-0.1395036190500878,0.3235048194492213,0.2766016807085118,-0.03425982009304434,-0.07825127846603738,-0.0779546987220407,0.15030369653916043,0.1710992795769996,-0.05332735264909242,0.09206440751674558,0.011867665148117395,-0.010648490270157063,-0.0005516283995265345,-0.011262559496230234,-0.009491997681491478,-0.009685725576561997,-0.008066234354023363,-0.008233701560973763,-0.006754407980530285,-0.00693411427549402,-0.008286545054585814,-0.03655004113187539,-0.005767678792627927,-0.02690901765378048,-0.021905934349010035,-0.007484893924912714,-0.007370627603703788,-0.015887855431016142,0.0026971285565539314,-0.022960690374314103,-0.00780389020339024,-0.0005516283995265355,-0.007228856049011995,-0.0944744535808394,-0.00039005863379531184,-0.0089978430819222,-0.0005516283995265386,-0.008957419679698713,-0.009307939532575313,-0.006943536267639321,-0.005325053991513072,-0.007910938242301147,-0.007383188978796802,-0.006872908371853693,-0.007007243735978639,-0.007134523391183412,-0.006634791206358722,-0.00595005462672535,-0.006132427378741593,-0.0061091647422199325,-0.009812361255250828,-0.0052796230919237574,-0.004907246104430142,0.3527110482221303,-0.0008722114681907109,-0.0006482172731297238,-0.004770357581140102,-0.00027015555202444986,0.03588889773691481,-0.0011032830740579154,-0.0006528765050362275,-0.0009586685787504702,-7.200788639639674e-05,-0.033144265694096106,-0.00453396002522555,-0.005475042581288413,-0.006355634303189647,-0.008057405151825616,-0.007403303951190553,0.09297309961295225,-0.0006756067348356957,-0.0011032830740579035,-0.008053977687007295,-0.0012335177685918117,-0.009593268684495062,-0.010041030938298504,-0.009323706844111978,-0.00871720226163571,-0.009355948204136886,-0.04331105344028937,-0.0037329386189838463,0.020369114501842513,0.49764110578312315,-0.08561757204893031,-0.0074628496028749216,-0.004180180283162912,0.004280001036149026,-0.03473117881302197,-0.006428067952697931,-0.0008452016678557409,-0.0008678455335743373,-0.0027893905196930157,-0.0012379130282636473,-0.02331297750403419,-0.0016549903048570737,-0.0008908178147012488,0.00021963637939369224,-0.0965375426917196,-0.015161669363500219,-0.009284248721073538,-0.000491540817208927,-0.0007569869191863973,-0.005534430687026671,0.4088744613459979,-0.0004139499035854468,-0.0238368907633386,-0.020278356035735412,0.0006046241849314248,-0.011691053889415194,0.03701351234492491,-0.0015714682303397468
src_bytes,,0.16327494066010134,,,,0.01173974795422255,1.0,0.12782669198270744,,,0.37997283514445246,,0.6033630376926089,,,,,,,-0.10526978623282272,-0.03608301504759957,-0.07304444184336023,5.5528974641799234e-05,-0.24425148290532206,-0.10018832793872215,-0.09950660082717974,-0.04466404384577952,-0.033163488220445896,0.11927980390856718,-0.03555723515181208,0.011233903305109,0.06803227201647195,-0.0367706930330823,0.0172998740641291,-0.03013448109246957,-0.09958408575730404,-0.09996209871071868,-0.04525049405991686,-0.04717354539566157,0.06688854922860013,-0.05743459808107982,0.1175996853494994,-0.013922356760522142,-0.0006683240225535531,-0.014624358627380612,-0.012627708220385734,-0.012840591270478348,-0.011056243399121535,-0.011238147470410987,-0.010808906537363022,-0.009902910660566628,-0.011264563725278016,-0.04460000009288986,-0.009861797730876998,-0.03222817369622294,-0.003916390123816705,-0.010427405512706498,-0.010307899386139342,-0.01935682261869294,-0.007070866069332711,0.20417269743016375,-0.0107772484525965,-0.0006683240225535549,-0.010154089948543579,0.052780586547823166,-0.00047257457265357237,-0.01090239923639406,-0.0006683240225535581,-0.011902624777858632,-0.012420350311507013,-0.009850522657936544,-0.008181234229359296,-0.0095844776534447,-0.010318935001679725,-0.009798656705243002,-0.009918773613959927,-0.010053904899124905,-0.009525643941634613,-0.008815178651851288,-0.009003796472212108,-0.008979251732510204,-0.011891252326977013,-0.008139188991436123,-0.005843552720657591,-0.009996752078501401,-0.0010115619616478605,-0.004174265886171046,-0.007320300203189312,-0.003925508902341034,-0.07604663604361907,-0.0012185272891471176,-0.004174889781174002,-0.004383906075288425,-0.0006928258276455573,0.03858305490319611,-0.007404106880626648,-0.008259047657137697,-0.009237784451053221,-0.011046051329833323,-0.010340718742406618,-0.016092587010605144,-0.0008177345915314705,-0.0006811602239991188,-0.012116435521277754,-0.001435383464830238,-0.01010827145318072,-0.013238975078204368,-0.012438515617561059,-0.011767296540181405,-0.012474768608577567,-0.05248048249470916,-0.016137692649163548,0.007541200212826725,0.018268229729313756,-0.1037272018433906,0.04195539602132615,0.0115258923236026,0.031067145117743725,0.11734461650113256,-0.0077879098231383274,0.0009327246924389594,-0.001050062470776942,-0.0030221565007507688,-0.0009901090151621483,-0.02849592378643077,-0.0020050994089110892,-0.0012085956328931962,-0.0007218554981776752,-0.11693032467690359,-0.017705554796130698,0.0044088951392088965,-0.000607304369249014,-0.0008983383810454486,0.002845119678994039,-0.02211397273273582,-0.0010666657339519,-0.028784314747856535,-0.0029279605718481967,-0.000555043056445997,-0.013779031656587473,0.047995449018856565,-0.0020123633986456543
dst_bytes,,0.4220001026319178,,,,0.036892202512279294,0.12782669198270744,1.0,,,0.12700231675303644,,0.2373628112344475,,,,,,,-0.23721115199057802,-0.08752977653772992,-0.20926608101488747,0.3232546438631309,0.09895152081352908,-0.20177395094841122,-0.20217003870673,-0.11867212607454444,-0.11390255376893886,0.26859354774244254,-0.11256819287372756,0.012880004988179927,0.3113219014051878,-0.1313688208640299,-0.08087903309136987,-0.01524921522170343,-0.20882941307030953,-0.20872865537326513,-0.12073017929223144,-0.10937939100354631,0.1622819661402152,-0.12282694648819026,0.0860835339546885,-0.029283596564112006,-0.001405718107475872,-0.030632572130807532,-0.02656050326991119,-0.027008269847422887,-0.023255170729501683,-0.023637777659304415,-0.02273434509498444,-0.023104698228147477,-0.022835834184783715,-0.09188649258035154,-0.02074290548534686,-0.06857241832141822,-0.055823029782388345,-0.02193250819259235,-0.021681412289722462,-0.040288465444474134,0.009724035440542646,-0.07689596699804345,-0.022656814581185857,-0.001405718107475877,-0.021357631575185814,0.42104174142154566,-0.0009939888609324485,-0.022931541444482822,-0.0014057181074758796,-0.02403878793593606,-0.026124357992325955,-0.020719125250910547,-0.01720803991909335,-0.02015949349937576,-0.02170435740030466,-0.019612019436448924,-0.020862680456510834,-0.021146907981315355,-0.020035793773115183,-0.018541441757395423,-0.01893908435968606,-0.018886543627664877,-0.025011443779512862,-0.017121289972353015,-0.012431038259216869,-0.06469305907086081,-0.0015112079775313795,-0.008756694397995427,0.004317919766970451,-0.008247951444740127,-0.16055054997844964,-0.0028115031717113356,-0.00878135612233502,-0.009220984954199485,-0.007992400215234126,-0.06425959586732778,-0.015573476375927141,-0.015521597822521367,-0.01943121823367876,-0.023233733297163935,-0.02175017609862844,0.10631269384452444,-0.0017216528762955866,-0.0028115031717113334,-0.02547686749992513,-0.0031433810599508427,-0.024446586708100494,-0.027846221029468883,-0.026162565902154114,-0.02475076056790929,-0.026238818458327075,-0.11038472663306248,-0.033534823838387635,-0.010091971747563303,-0.021513767440214708,-0.21817979540321197,0.13705126257380087,0.043578883162357814,0.008654237056181442,0.26037188150744484,-0.016380685847481334,0.014188754149513707,0.004816801202586125,-0.006071969328235356,0.0046792060792957575,-0.06014562673928844,-0.004217422165413224,0.0037056289451589367,0.02149515714584627,-0.24600338994698576,-0.0386306575368125,0.2895165720045604,0.0014134797333640065,0.010050046465609993,-0.014103424403096466,-0.053376330301701205,0.006872860388220426,-0.06037338366034212,-0.051675461766911235,-0.00015566120135806504,-0.029790992294059564,-0.011540710134724267,0.0649619058019045
wrong_fragment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
urgent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
